Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year,City,State
78258,45966,36.6,104802,46453,1710,3.720140974,2017,San Antonio,TX
78259,25873,36,93002,38985,971,3.752947088,2017,San Antonio,TX
78260,27907,36,116854,42877,1342,4.808829326,2017,San Antonio,TX
78261,17143,34.2,102860,41354,692,4.036633028,2017,San Antonio,TX
78263,5072,39.8,66379,27795,285,5.619085174,2017,San Antonio,TX
78264,10188,34.3,49855,18321,1906,18.70828426,2017,San Antonio,TX
78266,6746,44.5,114003,48113,153,2.268010673,2017,San Antonio,TX
85003,8694,39.2,47554,36513,1662,19.11663216,2017,Phoenix,AZ
85004,5944,32.3,33862,31679,1772,29.8115747,2017,Phoenix,AZ
85006,27671,31,32166,16583,10919,39.46008457,2017,Phoenix,AZ
85007,14810,33.2,31396,20438,5273,35.6043214,2017,Phoenix,AZ
85008,60700,28.7,37696,17694,18762,30.90939044,2017,Phoenix,AZ
85009,47810,28.7,27506,11810,19074,39.89541937,2017,Phoenix,AZ
85012,6776,42.9,62672,49873,629,9.282762692,2017,Phoenix,AZ
85013,21025,38.5,51889,37729,3551,16.88941736,2017,Phoenix,AZ
85014,27410,36.1,46390,31587,5519,20.13498723,2017,Phoenix,AZ
85015,39395,32.2,33532,17667,12883,32.70211956,2017,Phoenix,AZ
85016,35321,38.5,55156,39917,6108,17.29282863,2017,Phoenix,AZ
85017,41656,26.5,29758,12051,15424,37.02707893,2017,Phoenix,AZ
85018,37848,38.3,60250,48240,5107,13.49344747,2017,Phoenix,AZ
85019,25994,28,31815,12648,9774,37.60098484,2017,Phoenix,AZ
85020,33296,43.7,49332,34170,6324,18.99327247,2017,Phoenix,AZ
85021,41310,33.2,40744,25970,11352,27.48002905,2017,Phoenix,AZ
85022,50242,38.8,51240,31632,7456,14.84017356,2017,Phoenix,AZ
85023,33612,35.2,55186,30011,4652,13.84029513,2017,Phoenix,AZ
85024,24598,35,75070,35695,1958,7.959996748,2017,Phoenix,AZ
